id,type,date,from,from_id,text,photo,has_photo,media_type,year,month,day,hour,day_of_week,day_name,hour_sin,hour_cos,day_sin,day_cos,period_of_day,is_weekend,events_in_window,time_since_last,time_to_next,events_per_hour,text_length,word_count,has_alarma,has_movimiento,has_puerta,has_sensor,has_alerta,events_same_day,avg_events_this_hour,photos_same_day
235,message,2024-08-05 09:41:17,Voluntarios de soporte,user450000,"🔹 La mayor parte de las preguntas ya han sido contestadas en  @TelegramTipsES  y en  telegram.org/faq/es . Asegúrate de echar un vistazo antes.
🔹 Si no encontraste lo que buscabas, envía tu pregunta directamente en el chat. Por favor, envía una captura de pantalla si recibiste algún mensaje de error. 
🔹 Si tu cuenta ha sido restringida, sólo  @SpamBot  puede ayudarte. También puedes contactar a los moderadores mediante el bot.
🔹 Si tienes sugerencias, puedes hacerlas directamente en  suggestions.telegram.org  (en inglés).",,False,,2024,8,5,9,0,Monday,0.7071067811865476,-0.7071067811865475,0.0,1.0,Mañana,0,1.0,,-0.0,2,527,81,0,0,0,0,0,2,2,0.0
234,message,2024-08-05 09:41:17,Salvador BG,user6214146540,/start,,False,,2024,8,5,9,0,Monday,0.7071067811865476,-0.7071067811865475,0.0,1.0,Mañana,0,2.0,0.0,638406.9666666667,2,6,1,0,0,0,0,0,2,2,0.0
393,message,2025-10-22 17:48:15,BotFather,user93372553,"I can help you create and manage Telegram bots. If you're new to the Bot API, please  see the manual .

You can control me by sending these commands:

 /newbot  - create a new bot
 /mybots  - edit your bots

 Edit Bots 
 /setname  - change a bot's name
 /setdescription  - change bot description
 /setabouttext  - change bot about info
 /setuserpic  - change bot profile photo
 /setcommands  - change the list of commands
 /deletebot  - delete a bot

 Bot Settings 
 /token  - get authorization token
 /revoke  - revoke bot access token
 /setinline  - toggle  inline mode 
 /setinlinegeo  - toggle inline  location requests 
 /setinlinefeedback  - change  inline feedback  settings
 /setjoingroups  - can your bot be added to groups?
 /setprivacy  - toggle  privacy mode  in groups

 Web Apps 
 /myapps  - edit your  web apps 
 /newapp  - create a new  web app 
 /listapps  - get a list of your web apps
 /editapp  - edit a web app
 /deleteapp  - delete an existing web app

 Games 
 /mygames  - edit your  games 
 /newgame  - create a new  game 
 /listgames  - get a list of your games
 /editgame  - edit a game
 /deletegame  - delete an existing game",,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,1.0,638406.9666666667,-0.0,11,1152,191,0,0,0,0,0,37,11,26.0
392,message,2025-10-22 17:48:15,Salvador BG,user6214146540,/start,,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,2.0,0.0,0.4166666666666667,11,6,1,0,0,0,0,0,37,11,26.0
395,message,2025-10-22 17:48:40,BotFather,user93372553,"Alright, a new bot. How are we going to call it? Please choose a name for your bot.",,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,3.0,0.4166666666666667,-0.0,11,83,18,0,0,0,0,0,37,11,26.0
394,message,2025-10-22 17:48:40,Salvador BG,user6214146540,/newbot,,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,4.0,0.0,0.5666666666666667,11,7,1,0,0,0,0,0,37,11,26.0
397,message,2025-10-22 17:49:14,BotFather,user93372553,"Good. Now let's choose a username for your bot. It must end in `bot`. Like this, for example: TetrisBot or tetris_bot.",,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,5.0,0.5666666666666667,-0.0,11,118,21,0,0,0,0,0,37,11,26.0
396,message,2025-10-22 17:49:14,Salvador BG,user6214146540,Cam_Salvador,,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,6.0,0.0,0.5,11,12,1,0,0,0,0,0,37,11,26.0
398,message,2025-10-22 17:49:44,Salvador BG,user6214146540,Cam_Salvador_bot,,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,7.0,0.5,-0.0,11,16,1,0,0,0,0,0,37,11,26.0
399,message,2025-10-22 17:49:44,BotFather,user93372553,"Done! Congratulations on your new bot. You will find it at  t.me/Cam_Salvador_bot . You can now add a description, about section and profile picture for your bot, see  /help  for a list of commands. By the way, when you've finished creating your cool bot, ping our Bot Support if you want a better username for it. Just make sure the bot is fully operational before you do this.

Use this token to access the HTTP API:
 8053172513:AAGiNP47eG3w_siXe_5QnpN1ZZ-m9Dr7gQE 
Keep your token  secure  and  store it safely , it can be used by anyone to control your bot.

For a description of the Bot API, see this page:  https://core.telegram.org/bots/api",,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,8.0,0.0,2.75,11,647,107,0,0,0,0,0,37,11,26.0
400,message,2025-10-22 17:52:29,Salvador BG,user6214146540,/start,,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,9.0,2.75,0.016666666666666666,11,6,1,0,0,0,0,0,37,11,26.0
401,message,2025-10-22 17:52:30,Chat I'd Info Bot,user6285018176,"👤 Name: Salvador BG
🔤 Username: @N/A
🗣 Language: es
🆔 Chat ID: 6214146540 
 In this bot, you can easily retrieve the ID of any user, bot, group, or channel— No matter their privacy settings.

Whether message forwarding is enabled or disabled, you can still get the Chat ID effortlessly! Simply use the buttons below according to your needs.

After choosing an option, share the chat you want to identify. The bot will then provide you with the Chat ID instantly. ",,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,10.0,0.016666666666666666,0.5333333333333333,11,463,81,0,0,0,0,0,37,11,26.0
402,message,2025-10-22 17:53:02,Salvador BG,user6214146540,/start,,False,,2025,10,22,17,2,Wednesday,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,Tarde,0,11.0,0.5333333333333333,7.033333333333333,11,6,1,0,0,0,0,0,37,11,26.0
403,message,2025-10-22 18:00:04,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_1@22-10-2025_18-00-04.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,12.0,7.033333333333333,0.2,26,19,3,0,0,0,0,0,37,41,26.0
404,message,2025-10-22 18:00:16,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_2@22-10-2025_18-00-16.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,13.0,0.2,0.43333333333333335,26,19,3,0,0,0,0,0,37,41,26.0
405,message,2025-10-22 18:00:42,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_3@22-10-2025_18-00-42.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,14.0,0.43333333333333335,0.13333333333333333,26,19,3,0,0,0,0,0,37,41,26.0
406,message,2025-10-22 18:00:50,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_4@22-10-2025_18-00-50.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,15.0,0.13333333333333333,0.18333333333333332,26,19,3,0,0,0,0,0,37,41,26.0
407,message,2025-10-22 18:01:01,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_5@22-10-2025_18-01-01.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,16.0,0.18333333333333332,0.55,26,19,3,0,0,0,0,0,37,41,26.0
408,message,2025-10-22 18:01:34,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_6@22-10-2025_18-01-34.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,17.0,0.55,0.23333333333333334,26,19,3,0,0,0,0,0,37,41,26.0
409,message,2025-10-22 18:01:48,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_7@22-10-2025_18-01-48.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,18.0,0.23333333333333334,0.36666666666666664,26,19,3,0,0,0,0,0,37,41,26.0
410,message,2025-10-22 18:02:10,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_8@22-10-2025_18-02-10.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,19.0,0.36666666666666664,0.16666666666666666,26,19,3,0,0,0,0,0,37,41,26.0
411,message,2025-10-22 18:02:20,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_9@22-10-2025_18-02-20.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,20.0,0.16666666666666666,0.4166666666666667,26,19,3,0,0,0,0,0,37,41,26.0
412,message,2025-10-22 18:02:45,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_10@22-10-2025_18-02-45.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,21.0,0.4166666666666667,0.11666666666666667,26,19,3,0,0,0,0,0,37,41,26.0
413,message,2025-10-22 18:02:52,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_11@22-10-2025_18-02-52.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,22.0,0.11666666666666667,0.18333333333333332,26,19,3,0,0,0,0,0,37,41,26.0
414,message,2025-10-22 18:03:03,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_12@22-10-2025_18-03-03.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,23.0,0.18333333333333332,0.2833333333333333,26,19,3,0,0,0,0,0,37,41,26.0
415,message,2025-10-22 18:03:20,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_13@22-10-2025_18-03-20.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,24.0,0.2833333333333333,0.23333333333333334,26,19,3,0,0,0,0,0,37,41,26.0
416,message,2025-10-22 18:03:34,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_14@22-10-2025_18-03-34.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,25.0,0.23333333333333334,0.25,26,19,3,0,0,0,0,0,37,41,26.0
417,message,2025-10-22 18:03:49,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_15@22-10-2025_18-03-49.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,26.0,0.25,0.23333333333333334,26,19,3,0,0,0,0,0,37,41,26.0
418,message,2025-10-22 18:04:03,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_16@22-10-2025_18-04-03.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,27.0,0.23333333333333334,0.26666666666666666,26,19,3,0,0,0,0,0,37,41,26.0
419,message,2025-10-22 18:04:19,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_17@22-10-2025_18-04-19.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,28.0,0.26666666666666666,0.25,26,19,3,0,0,0,0,0,37,41,26.0
420,message,2025-10-22 18:04:34,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_18@22-10-2025_18-04-34.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,29.0,0.25,0.25,26,19,3,0,0,0,0,0,37,41,26.0
421,message,2025-10-22 18:04:49,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_19@22-10-2025_18-04-49.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,30.0,0.25,0.23333333333333334,26,19,3,0,0,0,0,0,37,41,26.0
422,message,2025-10-22 18:05:03,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_20@22-10-2025_18-05-03.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,31.0,0.23333333333333334,0.35,26,19,3,0,0,0,0,0,37,41,26.0
423,message,2025-10-22 18:05:24,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_21@22-10-2025_18-05-24.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,32.0,0.35,0.18333333333333332,26,19,3,0,0,0,0,0,37,41,26.0
424,message,2025-10-22 18:05:35,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_22@22-10-2025_18-05-35.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,33.0,0.18333333333333332,37.31666666666667,26,19,3,0,0,0,0,0,37,41,26.0
425,message,2025-10-22 18:42:54,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_23@22-10-2025_18-42-54.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,34.0,37.31666666666667,0.13333333333333333,26,19,3,0,0,0,0,0,37,41,26.0
426,message,2025-10-22 18:43:02,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_24@22-10-2025_18-43-02.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,35.0,0.13333333333333333,0.23333333333333334,26,19,3,0,0,0,0,0,37,41,26.0
427,message,2025-10-22 18:43:16,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_25@22-10-2025_18-43-16.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,36.0,0.23333333333333334,0.45,26,19,3,0,0,0,0,0,37,41,26.0
428,message,2025-10-22 18:43:43,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_26@22-10-2025_18-43-43.jpg,True,,2025,10,22,18,2,Wednesday,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Tarde,0,37.0,0.45,1442.9166666666667,26,19,3,0,0,0,0,0,37,41,26.0
429,message,2025-10-23 18:46:38,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_27@23-10-2025_18-46-38.jpg,True,,2025,10,23,18,3,Thursday,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,Tarde,0,1.0,1442.9166666666667,0.2833333333333333,15,19,3,0,0,0,0,0,92,41,92.0
430,message,2025-10-23 18:46:55,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_28@23-10-2025_18-46-55.jpg,True,,2025,10,23,18,3,Thursday,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,Tarde,0,2.0,0.2833333333333333,0.3,15,19,3,0,0,0,0,0,92,41,92.0
431,message,2025-10-23 18:47:13,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_29@23-10-2025_18-47-13.jpg,True,,2025,10,23,18,3,Thursday,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,Tarde,0,3.0,0.3,0.2833333333333333,15,19,3,0,0,0,0,0,92,41,92.0
432,message,2025-10-23 18:47:30,Cam_Salvador,user8053172513,⚠️ Motion Detected!,chats/chat_1/photos/photo_30@23-10-2025_18-47-30.jpg,True,,2025,10,23,18,3,Thursday,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,Tarde,0,4.0,0.2833333333333333,0.35,15,19,3,0,0,0,0,0,92,41,92.0
